City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Bontang,ID,77.27,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
662,Shahpur,IN,83.17,few clouds,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
663,Mercedes,AR,71.78,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
664,Moissala,TD,82.85,overcast clouds,8.3404,17.7663,
667,Rocha,UY,71.42,light rain,-34.4833,-54.3333,Hotel Arrarte
670,Eirunepe,BR,81.48,broken clouds,-6.6603,-69.8736,Atrás de você
671,Morristown,US,76.91,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
672,Nioro,GM,86.04,clear sky,13.35,-15.75,
674,Biak,ID,76.06,light rain,-0.9131,122.8766,Penginapan Kim
679,Fort Walton Beach,US,77.05,overcast clouds,30.4058,-86.6188,Best Western Ft. Walton Beachfront
684,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
685,Lujan,AR,73.11,scattered clouds,-34.5703,-59.105,Hotel Biarritz
688,Bahir Dar,ET,77.04,overcast clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
690,Fredericksburg,US,71.2,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
692,Moerai,PF,81.05,overcast clouds,-22.4333,-151.3333,Le Manotel
694,Kantunilkin,MX,88.95,clear sky,21.0917,-87.45,Posada Paraiso
695,Pundaguitan,PH,81.28,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
698,Xuddur,SO,76.77,clear sky,4.1213,43.8894,Banjanay Hotel
