City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Santarem,BR,2022-03-20 18:45:15,-2.4431,-54.7083,86.13,74,20,4.61
111,Nikolskoye,RU,2022-03-20 18:45:15,59.7035,30.7861,36.81,99,97,4.85
112,Wangaratta,AU,2022-03-20 18:45:15,-36.3667,146.3333,55.45,100,1,0.0
113,Rupert,US,2022-03-20 18:45:16,42.6191,-113.6772,32.18,69,20,25.32
114,Kununurra,AU,2022-03-20 18:45:16,-15.7667,128.7333,73.38,88,94,0.0
115,Koppang,NO,2022-03-20 18:45:17,61.5706,11.0555,31.93,92,0,4.36
116,Fortuna,US,2022-03-20 18:45:17,40.5982,-124.1573,52.93,58,0,11.5
117,Jalu,LY,2022-03-20 18:45:18,29.0331,21.5482,58.08,43,0,16.04
118,Jamestown,US,2022-03-20 18:40:37,42.097,-79.2353,42.03,63,100,14.97
119,Lusambo,CD,2022-03-20 18:45:18,-4.9667,23.45,70.79,95,100,2.44
120,Saldanha,ZA,2022-03-20 18:45:18,-33.0117,17.9442,73.45,85,0,9.84
121,Soyo,AO,2022-03-20 18:45:19,-6.1349,12.3689,80.4,84,11,9.71
122,Saint-Joseph,RE,2022-03-20 18:45:19,-21.3667,55.6167,73.78,85,76,11.39
123,Aksu,CN,2022-03-20 18:45:20,41.1231,80.2644,42.37,88,100,9.66
124,Nouadhibou,MR,2022-03-20 18:45:20,20.931,-17.0347,63.52,83,0,25.9
125,Diamantino,BR,2022-03-20 18:45:20,-14.4086,-56.4461,84.09,73,100,5.46
126,Kloulklubed,PW,2022-03-20 18:45:21,7.0419,134.2556,77.5,79,100,19.13
127,Vila Franca Do Campo,PT,2022-03-20 18:45:21,37.7167,-25.4333,61.2,91,100,17.29
128,Bethel,US,2022-03-20 18:45:21,41.3712,-73.414,56.53,67,100,9.93
129,Syava,RU,2022-03-20 18:45:22,58.0146,46.3222,36.52,81,100,13.18
130,Lebyazhye,RU,2022-03-20 18:45:22,55.2689,66.4947,23.72,94,100,17.16
131,Trincomalee,LK,2022-03-20 18:45:23,8.5711,81.2335,78.76,83,5,10.27
132,Goderich,CA,2022-03-20 18:45:23,43.7501,-81.7165,37.9,75,100,5.75
133,Ust-Kut,RU,2022-03-20 18:44:39,56.7938,105.7672,21.78,90,100,10.8
134,Aberdeen,GB,2022-03-20 18:42:58,57.1437,-2.0981,43.29,85,75,13.8
135,Coihaique,CL,2022-03-20 18:44:57,-45.5752,-72.0662,64.35,45,75,4.61
136,Rio Grande,BR,2022-03-20 18:45:11,-32.035,-52.0986,73.51,47,1,12.41
137,Bengkulu,ID,2022-03-20 18:46:24,-3.8004,102.2655,76.3,88,95,5.23
138,Alappuzha,IN,2022-03-20 18:46:25,9.49,76.3264,80.2,81,10,6.6
139,Dikson,RU,2022-03-20 18:46:25,73.5069,80.5464,4.39,98,100,8.46
140,Mount Isa,AU,2022-03-20 18:46:26,-20.7333,139.5,74.97,50,70,4.61
141,Bambous Virieux,MU,2022-03-20 18:46:26,-20.3428,57.7575,79.05,94,40,5.75
142,Bereda,ES,2022-03-20 18:46:26,43.2686,-7.5406,50.07,78,100,1.34
143,Belaya Gora,RU,2022-03-20 18:46:27,68.5333,146.4167,-19.1,100,57,0.74
144,Esperance,AU,2022-03-20 18:46:27,-33.8667,121.9,67.84,86,100,7.83
145,Klyuchi,RU,2022-03-20 18:46:27,52.2667,79.1667,10.87,96,87,8.88
146,Yekaterinoslavka,RU,2022-03-20 18:46:28,50.3734,129.1139,4.82,91,15,11.45
147,Bandarbeyla,SO,2022-03-20 18:46:28,9.4942,50.8122,77.29,72,0,7.74
148,Gizo,SB,2022-03-20 18:46:29,-8.103,156.8419,82.76,73,99,11.45
149,Ballina,AU,2022-03-20 18:46:29,-28.8667,153.5667,62.56,88,75,5.75
150,Asosa,ET,2022-03-20 18:46:29,10.0667,34.5333,80.01,26,86,1.7
151,Saint-Louis,SN,2022-03-20 18:46:30,16.3333,-15.0,94.64,12,8,8.97
152,Severnyy,RU,2022-03-20 18:46:30,50.677,36.5532,32.04,64,0,11.18
153,Mackay,AU,2022-03-20 18:46:30,-21.15,149.2,73.38,88,75,4.61
154,Makakilo City,US,2022-03-20 18:46:31,21.3469,-158.0858,76.28,76,100,3.44
155,Chokurdakh,RU,2022-03-20 18:46:31,70.6333,147.9167,-21.53,100,64,4.97
156,Atar,MR,2022-03-20 18:46:32,20.5169,-13.0499,84.27,12,0,8.41
157,Chone,EC,2022-03-20 18:46:32,-0.6833,-80.1,84.13,77,82,4.85
158,Namie,JP,2022-03-20 18:46:32,37.4833,141.0,41.72,85,100,4.09
159,Xichang,CN,2022-03-20 18:46:33,27.8964,102.2634,58.59,51,87,0.98
160,Lompoc,US,2022-03-20 18:46:33,34.6391,-120.4579,69.57,62,40,21.0
161,Trairi,BR,2022-03-20 18:46:33,-3.2778,-39.2689,81.75,75,100,9.35
162,Tuatapere,NZ,2022-03-20 18:46:33,-46.1333,167.6833,50.4,93,36,1.86
163,Walvis Bay,NA,2022-03-20 18:45:15,-22.9575,14.5053,76.15,60,16,5.75
164,Butembo,CD,2022-03-20 18:46:34,0.15,29.2833,64.31,79,100,2.82
165,Kuytun,RU,2022-03-20 18:46:34,54.3419,101.5036,-2.13,100,85,3.04
166,Alofi,NU,2022-03-20 18:46:35,-19.0595,-169.9187,69.69,94,79,2.3
167,Lagoa,PT,2022-03-20 18:46:35,39.05,-27.9833,57.13,62,100,22.86
168,Okha,RU,2022-03-20 18:46:35,53.5739,142.9478,8.64,92,100,20.24
169,Kerouane,GN,2022-03-20 18:46:36,9.2667,-9.0167,86.16,43,99,1.61
170,Strezhevoy,RU,2022-03-20 18:45:06,60.7333,77.5889,25.66,95,100,12.35
171,Prince George,CA,2022-03-20 18:45:07,53.9166,-122.753,36.25,71,0,13.8
172,Casper,US,2022-03-20 18:42:00,42.8666,-106.3131,57.72,29,0,20.71
173,Rawson,AR,2022-03-20 18:46:36,-43.3002,-65.1023,62.35,58,100,29.55
174,Sitka,US,2022-03-20 18:46:37,57.0531,-135.33,39.09,60,100,17.27
175,Omboue,GA,2022-03-20 18:46:37,-1.5746,9.2618,78.96,85,34,6.46
176,Kaduy,RU,2022-03-20 18:46:37,59.2,37.15,35.47,89,100,8.3
177,Moindou,NC,2022-03-20 18:46:38,-21.6924,165.677,77.63,84,100,9.22
178,Saskylakh,RU,2022-03-20 18:46:38,71.9167,114.0833,-11.24,100,100,3.4
179,Saint-Philippe,RE,2022-03-20 18:46:38,-21.3585,55.7679,74.79,84,98,11.86
180,Kasama,ZM,2022-03-20 18:46:39,-10.2129,31.1808,62.74,98,100,3.49
181,Manta,EC,2022-03-20 18:42:46,-0.95,-80.7333,83.98,70,20,6.91
182,Matay,EG,2022-03-20 18:47:39,28.419,30.7792,59.2,41,59,18.92
183,Mar Del Plata,AR,2022-03-20 18:46:17,-38.0023,-57.5575,60.82,65,0,14.97
184,Victoria,HK,2022-03-20 18:44:08,22.2855,114.1577,73.18,87,98,15.99
185,Cabo San Lucas,MX,2022-03-20 18:43:34,22.8909,-109.9124,85.3,47,100,11.56
186,Visby,SE,2022-03-20 18:47:40,57.6409,18.296,34.02,80,0,2.3
187,Khatanga,RU,2022-03-20 18:47:40,71.9667,102.5,5.68,97,100,2.71
188,Pitimbu,BR,2022-03-20 18:47:41,-7.4706,-34.8086,88.39,70,63,13.51
189,Port Moresby,PG,2022-03-20 18:47:41,-9.4431,147.1797,74.62,100,20,5.75
190,Sao Filipe,CV,2022-03-20 18:47:42,14.8961,-24.4956,70.68,69,5,12.68
191,Camocim,BR,2022-03-20 18:47:42,-2.9022,-40.8411,82.47,80,79,7.54
192,Sur,OM,2022-03-20 18:47:42,22.5667,59.5289,73.89,62,0,7.16
193,Ayagoz,KZ,2022-03-20 18:47:43,47.9714,80.4392,9.12,99,99,4.72
194,Teknaf,BD,2022-03-20 18:47:43,20.8624,92.3058,70.88,72,73,3.29
195,Terrace Bay,CA,2022-03-20 18:43:07,48.7834,-87.1,34.5,93,93,4.47
196,Ribeira Grande,PT,2022-03-20 18:47:44,38.5167,-28.7,61.2,63,40,23.02
197,Tamandare,BR,2022-03-20 18:47:44,-8.7597,-35.1047,82.92,69,25,8.84
198,Cap Malheureux,MU,2022-03-20 18:47:44,-19.9842,57.6142,78.48,87,100,1.99
199,Aklavik,CA,2022-03-20 18:47:45,68.2191,-135.0107,-5.8,77,100,10.36
200,Tiksi,RU,2022-03-20 18:47:45,71.6872,128.8694,6.67,84,100,10.71
201,San Cristobal,VE,2022-03-20 18:47:45,7.7669,-72.225,77.18,48,100,3.6
202,Desaguadero,PE,2022-03-20 18:47:46,-16.5656,-69.0417,54.14,55,53,10.13
203,Port Alfred,ZA,2022-03-20 18:47:46,-33.5906,26.891,72.68,73,99,11.01
204,Sabzevar,IR,2022-03-20 18:47:46,36.2126,57.6819,49.28,57,0,9.22
205,Kamien Pomorski,PL,2022-03-20 18:47:47,53.9685,14.7726,44.96,51,9,11.23
206,Sisimiut,GL,2022-03-20 18:47:47,66.9395,-53.6735,-2.85,86,16,2.1
207,Kahului,US,2022-03-20 18:46:50,20.8947,-156.47,76.84,77,75,8.01
208,Barra,BR,2022-03-20 18:47:48,-11.0894,-43.1417,91.08,34,21,6.91
209,Sarh,TD,2022-03-20 18:47:48,9.1429,18.3923,91.31,24,0,0.0
210,Talnakh,RU,2022-03-20 18:47:49,69.4865,88.3972,0.73,96,72,2.68
211,East London,ZA,2022-03-20 18:43:51,-33.0153,27.9116,72.54,94,75,5.75
212,Hofn,IS,2022-03-20 18:47:49,64.2539,-15.2082,40.69,58,14,7.16
213,Mount Gambier,AU,2022-03-20 18:47:49,-37.8333,140.7667,57.11,100,100,4.61
214,Pangnirtung,CA,2022-03-20 18:47:50,66.1451,-65.7125,-18.4,69,0,0.0
215,Guarapari,BR,2022-03-20 18:47:50,-20.6667,-40.4975,84.88,63,44,8.08
216,Rocha,UY,2022-03-20 18:47:51,-34.4833,-54.3333,64.85,42,0,11.61
217,Saint-Augustin,CA,2022-03-20 18:47:51,51.226,-58.6502,28.17,89,100,22.41
218,Kungurtug,RU,2022-03-20 18:47:51,50.5994,97.5228,-6.68,96,17,2.35
219,Ilulissat,GL,2022-03-20 18:47:52,69.2167,-51.1,-0.38,65,14,0.0
220,Ornskoldsvik,SE,2022-03-20 18:47:52,63.2909,18.7153,38.35,70,95,3.44
221,Codrington,AU,2022-03-20 18:47:53,-38.2667,141.9667,56.44,95,66,4.65
222,Moyamba,SL,2022-03-20 18:47:53,8.1667,-12.4333,81.61,60,96,7.38
223,Campbell River,CA,2022-03-20 18:43:32,50.0163,-125.2446,42.46,81,100,11.5
224,Natal,BR,2022-03-20 18:43:49,-5.795,-35.2094,84.85,79,40,12.66
225,Arlit,NE,2022-03-20 18:47:54,18.7369,7.3853,88.7,11,60,9.53
226,Trinidad,BO,2022-03-20 18:47:54,-14.8333,-64.9,80.58,74,40,9.22
227,Svay Rieng,KH,2022-03-20 18:47:56,11.0879,105.7993,80.13,79,31,7.16
228,Buckeye,US,2022-03-20 18:45:00,33.3703,-112.5838,74.52,28,40,11.5
229,Ahuimanu,US,2022-03-20 18:48:56,21.4447,-157.8378,77.45,82,75,3.44
230,Vila,PT,2022-03-20 18:48:56,42.0304,-8.1588,52.7,56,100,10.0
231,Tynda,RU,2022-03-20 18:48:57,55.1667,124.7167,-15.63,99,93,2.68
232,Khilok,RU,2022-03-20 18:48:57,51.3674,110.4676,5.88,94,59,5.44
233,Pravda,RU,2022-03-20 18:48:57,46.9396,142.009,26.98,88,100,6.78
234,Vanimo,PG,2022-03-20 18:48:58,-2.6741,141.3028,76.73,88,88,1.05
235,Awbari,LY,2022-03-20 18:48:58,26.5921,12.7805,68.47,16,0,9.98
236,Ibra,OM,2022-03-20 18:48:58,22.6906,58.5334,71.49,42,0,0.51
237,Bilibino,RU,2022-03-20 18:48:59,68.0546,166.4372,-12.35,91,10,4.41
238,Imeni Poliny Osipenko,RU,2022-03-20 18:49:00,52.4201,136.4853,-16.08,99,19,0.6
239,Asmara,ER,2022-03-20 18:49:00,15.3333,38.9333,62.01,58,0,1.88
240,Mountain Home,US,2022-03-20 18:45:47,43.133,-115.6912,38.68,100,0,32.21
241,Santa Isabel Do Rio Negro,BR,2022-03-20 18:49:00,-0.4139,-65.0192,81.27,90,100,1.41
242,Chany,RU,2022-03-20 18:49:01,55.3121,76.7647,10.6,84,100,15.1
243,Pasighat,IN,2022-03-20 18:49:01,28.0667,95.3333,78.08,37,83,2.8
244,King City,US,2022-03-20 18:49:01,36.2127,-121.126,64.44,34,0,14.85
245,Suntar,RU,2022-03-20 18:49:02,62.1444,117.6319,12.94,97,100,4.32
246,Le Mars,US,2022-03-20 18:49:02,42.7942,-96.1656,70.09,19,0,19.57
247,Ust-Nera,RU,2022-03-20 18:49:02,64.5667,143.2,-18.2,100,76,4.54
248,Gat,IL,2022-03-20 18:45:03,31.61,34.7642,49.82,37,9,8.59
249,Auki,SB,2022-03-20 18:49:03,-8.7676,160.7034,76.77,84,100,5.57
250,Lapas,GR,2022-03-20 18:49:03,38.1,21.4167,42.82,56,40,6.91
251,Kalianget,ID,2022-03-20 18:49:03,-7.05,113.9333,80.08,77,98,0.65
252,Okato,NZ,2022-03-20 18:49:04,-39.2,173.8833,59.92,87,100,15.5
253,Bermeo,ES,2022-03-20 18:49:04,43.4209,-2.7215,62.8,68,41,10.04
254,Sasebo,JP,2022-03-20 18:49:05,33.1592,129.7228,51.01,80,100,1.81
255,Geraldton,AU,2022-03-20 18:49:05,-28.7667,114.6,73.81,73,99,16.11
256,Camacha,PT,2022-03-20 18:49:05,33.0833,-16.3333,58.42,63,40,17.27
257,Tinskoy,RU,2022-03-20 18:49:06,56.1525,96.9161,19.27,84,96,7.31
258,Dargaville,NZ,2022-03-20 18:49:06,-35.9333,173.8833,66.38,96,91,3.94
259,Tefe,BR,2022-03-20 18:49:06,-3.3542,-64.7114,84.31,74,40,6.91
260,Aragats,AM,2022-03-20 18:49:07,40.4889,44.3528,18.97,92,100,6.2
261,Angoram,PG,2022-03-20 18:49:07,-4.0625,144.0661,72.84,94,100,1.1
262,Salalah,OM,2022-03-20 18:48:05,17.0151,54.0924,78.89,53,0,4.61
263,San Patricio,US,2022-03-20 18:49:08,28.017,-97.5169,78.89,45,6,18.59
264,Burnie,AU,2022-03-20 18:49:08,-41.0667,145.9167,60.3,89,89,9.57
265,Ostrovnoy,RU,2022-03-20 18:49:08,68.0531,39.5131,33.01,80,78,24.0
266,Batemans Bay,AU,2022-03-20 18:47:25,-35.7167,150.1833,57.45,94,20,4.12
267,Mae Sai,TH,2022-03-20 18:49:10,20.4335,99.8762,76.3,61,42,0.92
268,Northam,GB,2022-03-20 18:49:10,51.0333,-4.2167,48.25,59,15,11.68
269,Sao Joao Da Barra,BR,2022-03-20 18:49:11,-21.6403,-41.0511,91.49,75,26,11.9
270,Broome,US,2022-03-20 18:49:11,42.2506,-75.833,44.98,76,100,11.5
271,Beira,MZ,2022-03-20 18:49:11,-19.8436,34.8389,80.69,61,40,7.0
272,Fairbanks,US,2022-03-20 18:45:18,64.8378,-147.7164,11.23,65,40,8.05
273,Varzea Da Palma,BR,2022-03-20 18:50:12,-17.5981,-44.7308,84.81,45,95,4.21
274,Sherkot,IN,2022-03-20 18:50:13,29.35,78.5833,76.15,20,45,0.92
275,Anadyr,RU,2022-03-20 18:50:14,64.75,177.4833,3.7,85,40,4.47
276,Clyde River,CA,2022-03-20 18:50:14,70.4692,-68.5914,-16.37,69,0,5.75
277,Ife,NG,2022-03-20 18:50:14,7.4667,4.5667,80.28,75,58,6.02
278,Nioro,GM,2022-03-20 18:50:15,13.35,-15.75,91.56,19,16,11.14
279,Menomonie,US,2022-03-20 18:50:15,44.8755,-91.9193,55.58,41,12,0.0
280,Hithadhoo,MV,2022-03-20 18:50:16,-0.6,73.0833,83.88,72,100,14.81
281,Buin,CL,2022-03-20 18:50:16,-33.7333,-70.75,83.05,19,100,11.1
