City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Samana,DO,19.2056,-69.3369,82.62,78,20,6.91,few clouds
214,Doha,QA,25.2867,51.5333,73.38,53,0,4.61,clear sky
215,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,75,11.5,broken clouds
216,Pacatuba,BR,-3.9842,-38.6203,79.47,92,100,3.47,light rain
217,Makakilo City,US,21.3469,-158.0858,77.32,64,100,12.66,overcast clouds
218,Goundi,TD,9.3627,17.366,89.38,8,100,2.42,overcast clouds
219,Chernyshevskiy,RU,63.0128,112.4714,14.68,95,100,6.55,overcast clouds
220,Mapiri,BO,-15.25,-68.1667,77.38,90,72,1.12,broken clouds
221,Kruisfontein,ZA,-34.0033,24.7314,64.89,95,11,3.78,few clouds
222,San Alberto,CO,7.7611,-73.3922,89.73,61,99,2.1,overcast clouds
223,Barra Do Garcas,BR,-15.89,-52.2567,79.32,80,78,4.9,broken clouds
224,Petersburg,US,37.2279,-77.4019,76.77,29,0,3.44,clear sky
225,Kodiak,US,57.79,-152.4072,35.11,48,100,13.8,overcast clouds
226,Katherine,AU,-14.4667,132.2667,77.32,83,100,4.61,overcast clouds
227,Havelock,US,34.8791,-76.9013,71.98,64,40,13.8,scattered clouds
228,Beihai,CN,21.4833,109.1,64.29,77,100,23.29,overcast clouds
229,Constitucion,CL,-35.3333,-72.4167,61.79,66,1,16.4,clear sky
230,Bonavista,CA,48.6499,-53.1147,31.01,73,100,28.86,overcast clouds
231,Dorfen,DE,48.2667,12.15,48.76,60,0,1.23,clear sky
232,Barcelos,PT,41.5388,-8.6151,53.74,97,100,4.61,light rain
233,Ahipara,NZ,-35.1667,173.1667,68.18,83,30,4.45,scattered clouds
234,Huangnihe,CN,43.5583,128.0239,24.73,79,100,3.29,overcast clouds
235,Wanning,CN,18.8003,110.3967,76.08,91,92,5.55,overcast clouds
236,Kidal,ML,18.4411,1.4078,80.62,5,5,8.34,clear sky
237,Zhigansk,RU,66.7697,123.3711,-10.03,100,97,5.57,overcast clouds
238,Greymouth,NZ,-42.4667,171.2,64.15,86,99,4.12,overcast clouds
239,Mackenzie,CA,55.2999,-123.1698,41.22,93,100,14.97,overcast clouds
240,Santarem,BR,-2.4431,-54.7083,86.13,74,40,5.75,scattered clouds
241,Lubango,AO,-14.9172,13.4925,62.22,94,100,4.61,moderate rain
242,Leningradskiy,RU,69.3833,178.4167,22.95,83,87,5.61,overcast clouds
243,Tromso,NO,69.6496,18.957,37.42,87,75,9.22,light intensity shower rain
244,Uvat,RU,59.1433,68.8953,22.66,96,100,8.28,light snow
245,Port Blair,IN,11.6667,92.75,77.04,94,40,1.14,mist
246,High Level,CA,58.5169,-117.136,32.11,64,75,8.05,broken clouds
247,Luganville,VU,-15.5333,167.1667,79.56,86,93,5.68,overcast clouds
248,Baherden,TM,38.4362,57.4316,42.57,88,100,5.61,overcast clouds
249,Sarangani,PH,5.4033,125.4636,82.29,74,98,9.35,overcast clouds
250,Magadi,IN,12.9667,77.2333,73.47,61,80,2.46,broken clouds
251,Svetlogorsk,BY,52.6333,29.7333,42.01,73,0,3.8,clear sky
252,Caravelas,BR,-17.7125,-39.2481,74.73,90,58,10.25,broken clouds
253,Quatre Cocos,MU,-20.2078,57.7625,78.91,84,26,11.7,light rain
254,San Luis,AR,-33.295,-66.3356,80.08,34,49,5.84,scattered clouds
255,Oktyabrskiy,RU,54.4815,53.471,31.08,94,100,11.07,overcast clouds
256,Clyde River,CA,70.4692,-68.5914,-13.32,98,54,1.61,broken clouds
257,Fortuna,US,40.5982,-124.1573,67.86,87,0,5.75,clear sky
258,Acajutla,SV,13.5928,-89.8275,86.67,57,93,9.13,overcast clouds
259,Vostok,RU,46.4856,135.8833,15.01,97,98,5.21,overcast clouds
260,Saint George,US,37.1041,-113.5841,67.78,21,0,25.32,clear sky
261,Codrington,AU,-38.2667,141.9667,59.04,64,100,10.83,overcast clouds
262,Hangzhou,CN,30.2937,120.1614,46.31,92,100,5.23,overcast clouds
263,Yulara,AU,-25.2406,130.9889,75.04,38,13,8.05,few clouds
264,Skibbereen,IE,51.55,-9.2667,51.12,88,94,15.73,light rain
265,Isangel,VU,-19.55,169.2667,75.31,100,78,4.61,broken clouds
266,Sibu,MY,2.3,111.8167,73.8,93,100,1.79,overcast clouds
267,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,67,37,11.95,scattered clouds
268,Troitskoye,RU,52.9821,84.6757,26.47,96,100,7.14,snow
269,Tual,ID,-5.6667,132.75,80.73,81,100,13.78,light rain
270,Alyangula,AU,-13.8483,136.4192,82.6,74,100,7.23,overcast clouds
271,San Pedro,PH,14.35,121.0167,81.36,77,71,5.79,broken clouds
272,Sioux Lookout,CA,50.1001,-91.917,32.07,93,100,8.05,overcast clouds
273,Salamiyah,SY,35.0113,37.0532,42.13,73,60,5.3,broken clouds
274,Amalapuram,IN,16.5833,82.0167,77.47,95,100,3.22,overcast clouds
275,Saint-Joseph,RE,-21.3667,55.6167,77.38,88,38,9.57,scattered clouds
276,Cherskiy,RU,68.75,161.3,16.21,85,23,8.19,few clouds
277,Adelaide,AU,-34.9333,138.6,62.19,82,75,9.22,broken clouds
278,Ajaccio,FR,42.0,8.9167,41.05,71,0,6.91,clear sky
279,Nkowakowa,ZA,-23.8878,30.2871,65.53,57,0,2.59,clear sky
280,South Lake Tahoe,US,38.9332,-119.9844,60.69,42,0,3.44,clear sky
281,Ostrovnoy,RU,68.0531,39.5131,29.12,86,99,19.6,overcast clouds
282,Sturgeon Bay,US,44.8342,-87.377,39.56,56,100,12.66,overcast clouds
283,Puerto Carreno,CO,6.189,-67.4859,90.5,44,97,11.56,overcast clouds
284,Mayumba,GA,-3.432,10.6554,79.57,89,100,3.98,overcast clouds
285,Shetpe,KZ,44.1667,52.1167,28.9,84,6,12.53,clear sky
286,Khandyga,RU,62.6667,135.6,-3.91,100,100,0.78,overcast clouds
287,Zyryanka,RU,65.75,150.85,4.69,95,100,7.96,overcast clouds
288,Turukhansk,RU,65.8167,87.9833,-6.57,100,76,5.93,broken clouds
